date,new_env,old_env
2024-10-22,OSCILLATE,BEAR
2024-10-23,OSCILLATE,BEAR
2024-10-24,OSCILLATE,BEAR
2024-10-25,OSCILLATE,BEAR
2024-10-28,OSCILLATE,BEAR
2024-10-29,OSCILLATE,BEAR
2024-10-30,OSCILLATE,BEAR
2024-10-31,OSCILLATE,BEAR
2024-11-01,OSCILLATE,BEAR
2024-11-04,OSCILLATE,BEAR
2024-11-05,BULL,BULL
2024-11-06,BULL,BULL
2024-11-07,BULL,BULL
2024-11-08,BULL,BULL
2024-11-11,BULL,BULL
2024-11-12,BULL,BULL
2024-11-13,BULL,BULL
2024-11-14,BULL,BULL
2024-11-15,BULL,BULL
2024-11-18,OSCILLATE,BULL
2024-11-19,OSCILLATE,BULL
2024-11-20,BULL,BULL
2024-11-21,BULL,BULL
2024-11-22,OSCILLATE,BULL
2024-11-25,BULL,BULL
2024-11-26,BULL,BULL
2024-11-27,BULL,BULL
2024-11-28,BULL,BULL
2024-11-29,BULL,BULL
2024-12-02,BULL,BULL
2024-12-03,BULL,BULL
2024-12-04,BULL,BULL
2024-12-05,BULL,BULL
2024-12-06,BULL,BULL
2024-12-09,BULL,BULL
2024-12-10,BULL,BULL
2024-12-11,BULL,BULL
2024-12-12,BULL,BULL
2024-12-13,BULL,BULL
2024-12-16,BULL,BULL
2024-12-17,BULL,BULL
2024-12-18,BULL,BULL
2024-12-19,BULL,BULL
2024-12-20,BULL,BULL
2024-12-23,BULL,BULL
2024-12-24,BULL,BULL
2024-12-25,BEAR,BEAR
2024-12-26,BEAR,BEAR
2024-12-27,BEAR,BEAR
2024-12-30,BEAR,BEAR
2024-12-31,BULL,BULL
